코 드,적용일자,품 명,규 격,단 위,상한금액,제조회사,재 질,수입업소,급여구분,구분변경
J4641106,20250401,FLEXCATH SHEATH,전규격,1EA,540820,MEDTRONIC CRYOCATH LP,폴리에테르 블락 아마이드,메드트로닉코리아(유),급여,
J4641111,20250401,POLARX CRYOABLATION BALLOON CATHETER,전규격,1EA,5732660,BOSTON SCIENTIFIC CORPORATION,폴리아마이드 등,보스톤사이언티픽코리아(주),급여,
J4641206,20250401,ARCTIC FRONT ADVANCE PRO CRYOBALLOON CATHETER,전규격,1EA,5732660,MEDTRONIC CRYOCATH LP,폴리우레탄 등,메드트로닉코리아,급여,
J4642006,20250401,FREEZOR CRYOABLATION CATHETER,전규격,1EA,2078430,MEDTRONIC CRYOCATH LP,PEBAX 등,메드트로닉코리아(유),급여,
J4660026,20250401,CROSSBOSS CATHETER,전규격,1EA,728790,BOSTON SCIENTIFIC CORPORATION,STAINLESS STEEL 등,보스톤사이언티픽코리아,급여,
J4660029,20250401,FINECROSS MG,전규격,1EA,728790,TERUMO CORPORATATION,STAINLESS STEEL 등,한국테루모,급여,
J4660042,20250401,TORNUS,전규격,1EA,728790,ASAHI INTECC CO./ LTD,STAINLESS STEEL 등,아사히인텍주식회사 한국영업소,급여,
J4660088,20250401,TURNPIKE SPIRAL,전규격,1EA,728790,VASCULAR SOLUTIONS/ LLC.,폴리아마이드/ 스테인레스 스틸 등,텔레플렉스코리아(유),급여,
J4660142,20250401,CORSAIR,전규격,1EA,728790,ASAHI INTECC CO./ LTD,POLYURETHANE 등 ,아사히인텍주식회사 한국영업소,급여,
J4660188,20250401,TURNPIKE GOLD,전규격,1EA,728790,VASCULAR SOLUTIONS/ LLC.,304V 스테인레스 스틸/ GOLD 등,텔레플렉스코리아(유),급여,
J4660242,20250401,CARAVEL,전규격,1EA,728790,ASAHI INTECC CO./LTD. MEDICAL DIVISION.,STAINLESS STEEL 등,아사히인텍주식회사 한국영업소,급여,
J4660288,20250401,TURNPIKE LP,전규격,1EA,728790,VASCULAR SOLUTIONS/ LLC.,304V 스테인레스 스틸/ 폴리아마이드 등,텔레플렉스코리아(유),급여,
J4660289,20250401,MIZUKI,전규격,1EA,728790,KANEKA CORPORATION,POLYETHER BLOCK AMIDE 등,에이엠지코리아,급여,
J4665003,20250401,TELESCOPE GUIDE EXTENSION CATHETER,전규격,1EA,530000,MEDTRONIC/ INC.,폴리테트라플루오로에틸렌 등,메드트로닉코리아,급여,
J4665026,20250401,GUIDEZILLA GUIDE EXTENSION CATHETER,전규격,1EA,530000,BOSTON SCIENTIFIC CORPORATION,폴리카보네이트/ 폴리테트라플루오로에틸렌 등,보스톤사이언티픽코리아,급여,
J4665088,20250401,GUIDELINER V3,전규격,1EA,530000,VASCULAR SOLUTIONS INC.,폴리에테르 블록 아마이드 등,텔레플렉스코리아(유),급여,
J4665089,20250401,GENOSS GUIDE EXTENSION CATHETER,전규격,1EA,530000,GENOSS,폴리테트라플루오로에틸렌 등,(주)제노스,급여,
J4665094,20250401,GUIDION HYDRO,전규격,1EA,530000,IMDS OPERATIONS B.V.,폴리에테르 블록 아마이드 등,바이오트로닉코리아(주),급여,
J4670088,20250401,SUPERCROSS,전규격,1EA,611510,VASCULAR SOLUTIONS INC.,304 STAINLESS STEEL 등,텔레플렉스코리아 유한회사,급여,
J4680042,20250401,CRUSADE CATHETER,전규격,1EA,397750,KANEKA MEDIX CORP.,나일론12공중합체/폴리에틸렌/백금합금 등,에이엠지코리아,급여,
J4680076,20250401,ASAHI SASUKE,전규격,1EA,397750,ASAHI INTECC CO./ LTD. MEDICAL DIVISION,폴리아마이드엘라스토머 등,아사히인텍주식회사 한국영업소,급여,
J4680077,20250401,CRUSADE TYPE R,전규격,1EA,397750,KANEKA CORPORATION,폴리에테르 블록 아마이드/ 백금-이리듐 합금 등,에이엠지코리아,급여,
J4690026,20250401,STINGRAY CATHETER,전규격,1EA,728790,BOSTON SCIENTIFIC CORPORATION,STAINLESS STEEL 등,보스톤사이언티픽코리아,급여,
J4690094,20250401,RECROSS,전규격,1EA,728790,IMDS OPERATIONS B.V.,폴리에테르블록아마이드/ 스테인레스스틸 등,바이오트로닉코리아(주),급여,
J4700166,20250401,NAVX SURFACE ELECTRODE KIT,100003331/100003333,1EA,1488180,ST.JUDE MEDICAL,-,애보트메디칼코리아유한회사,급여,
J4700266,20250401,NAVX SURFACE ELECTRODE KIT,전규격,1EA,1488180,ABBOTT MEDICAL COSTA RICA LTDA.,-,애보트메디칼코리아유한회사,급여,
J4700313,20250401,OCTARAY MAPPING CATHETER,전규격,1EA,2336920,BIOSENSE WEBSTER/ INC.,-,한국존슨앤드존슨메디칼,급여,
J4710066,20250401,ENSITE CATHETER,전규격,1EA,2336920,ST.JUDE MEDICAL,-,애보트메디칼코리아유한회사,급여,
J4720001,20250401,INTELLANAV OPEN-IRRIGATED ABLATION CATHETER,전규격,1EA,2772880,BOSTON SCIENTIFIC CORPORATION,PLATINUM-IRIDIUM ALLOY 등,보스톤사이언티픽코리아,급여,
J4720013,20250401,NAVISTAR RMT NAVIGATION & ABLATION CATHETER,전규격,1EA,2680600,BIOSENSE WEBSTER/INC,-,한국존슨앤드존슨메디칼,급여,
J4720066,20250401,TACTICATH QUARTZ CONTACT FORCE ABLATION CATHETER,전규격,1EA,2772880,ST.JUDE MEDICAL,PLATINUM-IRIDIUM ALLOY 등,애보트메디칼코리아유한회사,급여,
J4720101,20250401,INTELLANAV MIFI OPEN-IRRIGATED CATHETER,전규격,1EA,2772880,BOSTON SCIENTIFIC CORPORATION,PLATINUM-IRIDIUM ALLOY 등,보스톤사이언티픽코리아,급여,
J4720113,20250401,NAVISTAR THERMOCOOL SF NAVIGATION & ABLATION  CATHETER,전규격,1EA,2772880,BIOSENSE WEBSTER,POLYURETHANE 등,한국존슨앤드존슨메디칼,급여,
J4720166,20250401,FLEXABILITY ABLATION CATHETER/ SENSOR ENABLED CATHETER,전규격,1EA,2772880,ABBOTT MEDICAL,PLATINUM-IRIDIUM 등,애보트메디칼코리아유한회사,급여,
J4720201,20250401,INTELLANAV STABLEPOINT ABLATION CATHETER,전규격,1EA,2772880,BOSTON SCIENTIFIC CORPORATION,PLATINUM-IRIDIUM ALLOY 등,보스톤사이언티픽코리아(주),급여,
J4720213,20250401,NAVISTAR THERMOCOOL SMART TOUCH NAVIGATION & ABLATION CATHETER ,전규격,1EA,3327450,BIOSENSE WEBSTER/INC,POLYURETHANE 등,한국존슨앤드존슨메디칼,급여,
J4720266,20250401,TACTICATH CONTACT FORCE ABLATION CATHETER/ SENSOR ENABLED,전규격,1EA,2772880,ABBOTT MEDICAL,PLATINUM ALLOYS 등,애보트메디칼코리아유한회사,급여,
J4720313,20250401,EXTERNAL REFERENCE PATCH,전규격,1EA,378120,BIOSENSE WEBSTER,POLYCARBONATE 등,한국존슨앤드존슨메디칼,급여,
J4720366,20250401,TACTIFLEX ABLATION CATHETER/ SENSOR ENABLED,전규격,1EA,2772880,ABBOTT MEDICAL,PLATINUM-IRIDIUM ALLOY,애보트메디칼코리아 유한회사,급여,
J4730001,20250401,LOCATION REFERENCE BACK PATCH,전규격,1KIT,378120,RHYTHMIA MEDICAL/ INC,-,보스톤사이언티픽코리아,급여,
J4730013,20250401,ACUNAV ULTRASOUND CATHETER,전규격,1EA,2819510,SIMENS MEDICAL SOLUTIONS USA/INC, PEBAX 등 ,한국존슨앤드존슨메디칼,급여,
J4730066,20250401,VIEWFLEX XTRA ICE CATHETER,전규격,1EA,2819510,IRVINE BIOMEDICAL/ INC. A ST. JUDE MEDICAL COMPANY,EPOXY RESIN,애보트메디칼코리아유한회사,급여,
J4730101,20250401,INTELLAMAP ORION HIGH RESOLUTION MAPPING CATHETER,전규격,1EA,2808570,RHYTHMIA MEDICAL/ INC,폴리염화비닐/ 폴리카보네이트 등,보스톤사이언티픽코리아,급여,
J4740013,20250401,SOUNDSTAR 3D ULTRASOUND CATHETER,전규격,1EA,3959320,BIOSENSE WEBSTER/INC, PEBAX 등 ,한국존슨앤드존슨메디칼,급여,
J4790143,20250401,HYDRO LEMAITRE VALVULOTOME,전규격,1EA,996400,LEMAITRE VASCULAR/ INC.,STAINLESS STEEL 등,르메트르 유한회사,급여,
J4800001,20250401,GATEWAY PLUS Y-ADAPTER (FOR PTCA),전규격,1EA,37920,BOSTON SCIENTIFIC CORPORATION,,보스톤사이언티픽코리아,급여,
J4800002,20250401,LARGE BORE TUOHY-BORST SIDE ARM ADAPTER,전규격,1EA,37920,COOK,,쿡메디칼코리아,급여,
J4800003,20250401,ACCESS PLUS HEMOSTASIS VALVE,전규격,1EA,37920,MERIT MEDICAL SYSTEMS/ INC,폴리카보네이트 등,메리트메디칼코리아,급여,
J4800016,20250401,MBA HEMOSTASIS VALVE,전규격,1EA,35000,MERIT MEDICAL SYSTEMS/INC,POLYCARBONATE 외,메리트메디칼코리아,급여,
J4800019,20250401,ANGIOSTAR Y CONNECTOR,전규격,1EA,37920,TAEWOONG MEDICAL,POLYCABONATE 등,태웅메디칼,급여,
J4800025,20250401,HEMOSTATIC VALVE,,1EA,37920,ABBOTT VASCULAR,,애보트메디칼코리아유한회사,급여,
J4800037,20250401,비이식형혈관접속용기구-RHV,전규격,1EA,37920,HUBIOMED,POLYCARBONATE 등,휴바이오메드,급여,
J4800048,20250401,GOODTEC Y-CONNECTOR,전규격,1EA,37920,GOODMAN CO./LTD.,POLYCARBONATE 외,포커스메디칼,급여,
J4800054,20250401,A-HEMO,전규격,1EA,37920,A & A M.D,POLYCABONATE/ POLYETHYLENE 등,(주)에이앤에이엠디,급여,
J4800057,20250401,MY-CONN,전규격,1EA,37920,MEDWIN CO./ LTD.,POLYCARBONATE 등,(주)메드윈,급여,
J4800065,20250401,Y-CONNECTOR KIT,전규격,1EA,37920,SHANGHAI KINDLY MEDICAL INSTRUMENTS CO./ LTD.,POLYCARBONATE 등,(주)엠메디텍,급여,
J4800070,20250401,Y ADAPTOR KIT,전규격,1EA,37920,SUNNY MEDICAL DEVICE CO.LTD,POLYCABONATE 등,한국에스엠에스,급여,
J4800071,20250401,SUPERIOR HEMOSTASIS VALVE,전규격,1EA,37920,NVENTRIC,POLYCARBONATE 외,주식회사 엔벤트릭,급여,
J4800084,20250401,SEALINGPRO Y CONNECTOR,전규격,1EA,37920,APT MEDICAL INC.,POLYCARBONATE 등,코아엠,급여,
J4800085,20250401,Y ADAPTOR,전규격,1EA,37920,CENTRAL MFG.CO./LTD,POLYCARBONATE 등,에스와이메디케어,급여,
J4800086,20250401,AUTOSEAL HEMOSTASIS VALVE KIT,전규격,1EA,37920,CURATIA MEDICAL LIMITED,POLYCARBONATE 등,주식회사 코비엠디,급여,
J4800089,20250401,Y-CONNECTOR SET,전규격,1EA,37920,GENOSS,POLYCARBONATE 등,제노스,급여,
J4800090,20250401,SCW-HV,전규격,1EA,37920,SCW MEDICATH LTD.,POLYCARBONATE 등,테라벤션 주식회사,급여,
J4800101,20250401,OPT 125 Y-ADAPTER,전규격,1EA,37920,MEDLINE INDUSTRIES INC,POLYCABONATE 등,메드라인코리아 유한책임회사,급여,
J4800103,20250401,HONOR HEMOSTASIS VALVE,전규격,1EA,37920,MERIT MEDICAL SYSTEMS/ INC.,폴리카보네이트 등,메리트메디칼코리아㈜,급여,
J4800116,20250401,JS HEMOSTASIS VALVE,전규격,1EA,37920,JUNGSUNG MEDICAL,POLYCARBONATE 등,(주)정성메디칼,급여,
J4800125,20250401,COPILOT BLEEDBACK CONTROL VALVE,전규격,1EA,37920,ABBOTT VASCULAR,POLYCARBONATE,애보트메디칼코리아유한회사,급여,
J4800137,20250401,RHV-S (Y-CONNECTOR),전규격,1EA,37920,HUBIOMED,POLYCARBONATE/ SILICONE/ POLYACETAL COPOLYMER/ STAINLESS STEEL/ POLYPROPYLENE/STYRENE-BUTADIENE COPOLYMER/ ULTRAVIOLET ADHESIVE/ PVC,(주)휴바이오메드,급여,
J4800153,20250401,ANGIO-LOCK HEMOSTASIS VALVE,전규격,1EA,37920,ANGIOTECH,POLYCARBONATE 외,(주)엔지오텍,급여,
J4800171,20250401,FLEX HEMOSTASIS VALVE,전규격,1EA,37920,NVENTRIC,POLYCARBONATE 외,주식회사 엔벤트릭,급여,
J4800201,20250401,OPT 125 TRI-ADAPTER,전규격,1EA,37920,MEDLINE INDUSTRIES INC,POLYCABONATE 등,메드라인코리아 유한책임회사,급여,
J4800237,20250401,RHV-P (Y-CONNECTOR),전규격,1EA,37920,HUBIOMED,POLYCARBONATE/ SILICONE/ STAINLESS STEEL/ POLYPROPYLENE/ STYRENE-BUTADIENE COPOLYMER/ ULTRAVIOLET ADHESIVE/ NR,(주)휴바이오메드,급여,
J4800960,20250401,GUARDIAN II HEMOSTASIS VALVE,전규격,1EA,37920,HARMAC MEDICAL PRODUCTS.INC,POLYCARBONATE 외,텔레플렉스코리아(유),급여,
J4800981,20250401,PHD HEMOSTASIS VALVE,전규격,1EA,37920,MERIT MEDICAL SYSTEMS/INC,POLYCARBONATE 등,메리트메디칼코리아,급여,
J4800982,20250401,FLO50,전규격,1EA,37920,MERIT MEDICAL SYSTEMS/ INC.,폴리카보네이트 외,메리트메디칼코리아(주),급여,
J4800983,20250401,HEMOCLOSE,전규격,1EA,37920,SOLMEDIX CO./LTD.,POLYCARBONATE 등,주식회사 솔메딕스,급여,
J4800984,20250401,DOUBLE PLAY,전규격,1EA,37920,MERIT MEDICAL SYSTEMS/ INC.,폴리카보네이트 외,메리트메디칼코리아(주),급여,
J4901009,20250401,MULTI-LUMEN ACCESS CATHETER,전규격,1EA,81400,ARROW,-,케이씨피,급여,
J4901031,20250401,AVA CATHETER,TRIPLE LUMEN,1EA,81400,EDWARDS LIFESCIENCES,POLYURETHANE,에드워즈라이프사이언시스코리아,급여,
J4901032,20250401,ARROW MAC TWO-LUMEN CENTRAL VENOUS ACCESS SET,전규격,1EA,81400,ARROW INTERNATIONAL/ INC.,폴리에테르-폴리우레탄 등,텔레플렉스코리아(유),급여,
J4902044,20250401,BA400/ BA600,전규격,1EA,178470,WONTECH,SUS/ QUARTZ GLASS 등,원텍(주),급여,
J5001002,20250401,CHECK-FLO ADULT-ARTERIAL AND VENOUS INTRODUCER,9FR이하/16CM이하,1EA,24180,COOK,RADIOPAQUE FEP,유한회사 쿡메디칼코리아,급여,
J5001004,20250401,3AM-MP-SHEATH,9FR이하/16CM이하,1EA,24180,3AM,PTFE 등,(주)쓰리에이엠,급여,
J5001005,20250401,FAST -CATH HEMOSTASIS INTRODUCER,9FR이하/16CM이하,1EA,24180,ABBOTT MEDICAL,-,애보트메디칼코리아유한회사,급여,
J5001007,20250401,GORE DRYSEAL SHEATH ,전규격,1EA,24180,W.L. GORE & ASSOCIATES,POLYETHYLENE등,고어코리아,급여,
J5001009,20250401,SUPER ARROW-FLEX SHEATH INTRODUCER,9FR이하/16CM이하,1EA,24180,ARROW,-,케이씨피,급여,
J5001010,20250401,PERFORMER INTRODUCER AND SET,14FR(45CM)/16FR(45/ 70CM)/ 18FR(85CM),1EA,91040,COOK MEDICAL,FLUORINATED ETHYLENE PROPYLENE 등,한국의료기기안전정보원,급여,
J5001013,20250401,AVANTI TRANSRADIAL INTRODUCER,9FR이하/16CM이하,1EA,24180,CORDIS CORPORATION,POLYETHYLENE,코디스코리아 유한회사,급여,
J5001014,20250401,MINI ACCESS SHEATH DILATOR,전규격,1EA,24180,MERIT MEDICAL SYSTEMS/INC,HDPE 등,메리트메디칼코리아,급여,
J5001020,20250401,ACCU-SHEATH INTRODUCER SYSTEM,9FR이하/16CM이하,1EA,24180,SUNGWON MEDICAL,POLYURETHANE 외,성원메디칼,급여,
J5001027,20250401,PRELUDE SHORT SHEATH,9FR이하/16CM이하,1EA,55850,MERIT MEDICAL SYSTEMS/ INC. ,폴리아마이드 등,메리트메디칼코리아㈜,급여,
J5001028,20250401,SILKY INTRODUCER,전규격,1EA,24180,STENTEC,-,스텐텍,급여,
J5001029,20250401,RADIFOCUS CATHETER INTRODUCER,9FR이하/16CM이하,1EA,24180,TERUMO,POLYETHYLENE,한국테루모,급여,
J5001030,20250401,MINI ACCESS KIT,전규격,1EA,24180,MERIT MEDICAL SYSTEMS/ INC,폴리에틸렌 등,메리트메디칼코리아,급여,
J5001031,20250401,PRIMO,9FR이하/16CM이하,1EA,24180,ANAMD,POLYAMIDES/ POLYCARBONATE 등,(주)에이앤에이엠디,급여,
J5001032,20250401,GENOSS INTRODUCER SHEATH (HAIR WIRE 포함),9FR이하/16CM이하,1EA,55850,GENOSS,ETFE 등,(주)제노스,급여,
J5001041,20250401,SUPER SHEATH,SHORT,1EA,24180,TOGOMEDIKIT,,메디코,급여,
J5001066,20250401,ULTIMUM HEMOSTASIS INTRODUCER,전규격,1EA,24180,ABBOTT MEDICAL,POLYETHYLENE,애보트메디칼코리아유한회사,급여,
J5001082,20250401,FLEXOR CHECK FLO INTRODUCER SET-MICRO PUNCTURE RADIAL ARTERY ACCESS(HAIR WIRE포함),9FR이하/16CM이하,1EA,55850,COOK INCORPORATED,POLYAMIDE 등,쿡메디칼코리아,급여,
J5001089,20250401,AFX INTRODUCER SYSTEM,전규격,1EA,24180,ENDOLOGIX INTERNATIONAL HOLDINGS B.V.,POLYETHER BLOCK AMIDE 등,유한회사엔도로직스티앤디코리아,급여,
J5001092,20250401,MICRO SHEATH,전규격,1EA,24180,A & A M.D,PTFE 등,에이앤에이엠디,급여,
J5001105,20250401,VENOUS INTRODUCER SHEATH,9FR이하/16CM이하,1EA,23990,ST. JUDE MEDICAL,-,애보트메디칼코리아유한회사,급여,
J5001109,20250401,ARROW PERCUTANEOUS SHEATH INTRODUCER,전규격,1EA,24180,ARROW,POLYURETHANE,케이씨피,급여,
J5001110,20250401,FLEXOR INTRODUCER,12FR(80CM),1EA,185100,COOK MEDICAL,POLYAMIDE ELASTOMER 등,한국의료기기안전정보원,급여,
J5001113,20250401,AVANTI PLUS INTRODUCER,9FR이하/16CM이하,1EA,24180,CORDIS CORPORATION,POLYETHYLENE,코디스코리아 유한회사,급여,
J5001115,20250401,3S SHEATH INTRODUCER KIT,9FR이하/ 16CM이하,1EA,24180,DUKWOO MEDICAL,ETHYLENE TETRAFLUORO ETHYLENE 등,덕우메디칼,급여,
J5001120,20250401,RAAGW INTRODUCER SET-MICRO PUNCTURE RADIAL ARTERY ACCESS(HAIR WIRE 포함),9FR이하/16CM이하,1EA,55850,SUNGWON MEDICAL,STAINLESS STEEL/ POLYETHYLENE 등,성원메디칼,급여,
J5001127,20250401,PRELUDE SHEATH INTRODUCER,9FR이하/16CM이하,1EA,55850,MERIT MEDICAL SYSTEMS/ INC.,폴리에틸렌/ 니켈-티타늄 합금 등,메리트메디칼코리아(주),급여,
J5001129,20250401,RADIFOCUS INTRODUCER TWO,9FR이하/16CM이하,1EA,24180,TERUMO,POLYETHYLENE,한국테루모,급여,
J5001132,20250401,GENOSS INTRODUCER SHEATH (F) (HAIR WIRE 포함),9FR이하/16CM이하,1EA,55850,GENOSS,ETFE 등,(주)제노스,급여,
J5001182,20250401,PERFORMER CHECK-FLO INTRODUCER SET-MICROPUNCTURE RADIAL ARTERY ACCESS(HAIR WIRE 포함),9FR이하/16CM이하,1EA,55850,COOK INCORPORATED,STAINLESS STEEL/TEFLON COATED STAINLESS STEEL 등,유한회사 쿡메디칼코리아,급여,
J5001205,20250401,ENGAGE/ENGAGE TR,9FR이하/16CM이하,1EA,24180,ABBOTT MEDICAL,HDPE 등,애보트메디칼코리아유한회사,급여,
J5001213,20250401,AVANTI PLUS TRANSRADIAL SHEATH,9FR이하/16CM이하,1EA,24180,CORDIS CORPORATION,POLYETHYLENE,코디스코리아 유한회사,급여,
J5001216,20250401,JSM MICRO PUNCTURE SET SHEATH,전규격,1EA,24180,JUNGSUNG MEDICAL,폴리에틸렌 등,(주)정성메디칼,급여,
J5001227,20250401,PRELUDE IDEAL HYDROPHILIC SHEATH,9FR이하/16CM이하,1EA,55850,MERIT MEDICAL SYSTEMS/ INC.,폴리우레탄 외,메리트메디칼코리아(주),급여,
J5001229,20250401,RADIFOCUS INTRODUCER Ⅱ M COAT,9FR이하/16CM이하,1EA,24180,TERUMO CORPORATION,ETFE 등,한국테루모,급여,
J5001231,20250401,INTROFLEX PERCUTANEOUS SHEATH INTRODUCER,전규격,1EA,24180,EDWARDS LIFESCIENCES,POLYURETHANE,에드워즈라이프사이언시스코리아,급여,
J5001305,20250401,ULTIMUM HEMOSTASIS INTRODUCER,9FR이하/16CM이하,1EA,24180,ABBOTT MEDICAL,POLYCARBONATE 등,애보트메디칼코리아유한회사,급여,
J5001313,20250401,BRITE TIP SHEATH,9FR이하/ 16CM이하,1EA,24180,CORDIS CORPORATION,POLYETHYLENE 등,코디스코리아 유한회사,급여,
J5001316,20250401,PASSAGE INTRODUCER SHEATH,9FR이하/16CM이하,1EA,55850,JUNGSUNG MEDICAL,고밀도 폴리에틸렌 등,(주)정성메디칼,급여,
J5001329,20250401,RADIFOCUS INTRODUCER Ⅱ,9FR이하/16CM이하,1EA,24180,TERUMO CORPORATION (제조: 베트남),POLYETHYLENE,한국테루모,급여,
J5001331,20250401,INTRO FLEX,전규격,1EA,24180,EDWARDS LIFESCIENCES LLC,폴리염화비닐/ 디에틸핵시프탈레이트 등,에드워즈라이프사이언시스코리아㈜,급여,
J5001414,20250401,GLIDESHEATH SLENDER,9FR이하/16CM이하,1EA,55850,TERUMO CORPORATION,폴리프로필렌 등,한국테루모(주),급여,
J5001415,20250401,3S SHEATH INTRODUCER KIT-RADIAL ACCESS,9FR 이하 / 16CM이하,1EA,55850,DUKWOO MEDICAL,ETFE등,(주)덕우메디칼,급여,
J5001515,20250401,3S MP ACCESS KIT,9FR이하/16CM이하,1EA,55850,DUKWOOMEDICAL,ETHYLENE TETRAFLUOROETHYLENE 등,(주)덕우메디칼,급여,
J5002002,20250401,CHECK-FLO ADULT-ARTERIAL AND VENOUS INTRODUCER,9FR이하/17CM-40CM,1EA,36800,COOK,RADIOPAQUE FEP,유한회사 쿡메디칼코리아,급여,
J5002003,20250401,3AM-MP-SHEATH,9FR이하/17-40CM미만,1EA,42000,THREEAM,PTFE등,(주)쓰리에이엠,급여,
J5002005,20250401,FAST-CATH HEMOSTASIS INTRODUCER FOR PTCA,9FR이하/17CM-40CM,1EA,42000,ABBOTT MEDICAL,-,애보트메디칼코리아유한회사,급여,
J5002009,20250401,SUPER ARROW-FLEX SHEATH INTRODUCER,9FR이하/17CM-40CM,1EA,42000,ARROW,-,케이씨피,급여,
J5002015,20250401,FAST-CATH HEMOSTASIS LONG INTRODUCER,9FR이하/40CM이상,1EA,99270,ABBOTT MEDICAL,-,애보트메디칼코리아유한회사,급여,
J5002018,20250401,SUPER ARROWFLEX SHEATH INTRODUCER SET,9FR이하/17CM-40CM,1EA,42000,ARROW INTERNATIONAL LLC SUBSIDIARY OF TELEFLEX INCORPORATED,폴리에테르-폴리우레탄 등,텔레플렉스코리아(유),급여,
J5002020,20250401,ACCU-SHEATH LONG INTRODUCER SYSTEM,9FR이하/25CM,1EA,42000,SUNGWON MEDICAL,POLYURETHANE 외,성원메디칼,급여,
J5002027,20250401,PRELUDE SHEATH INTRODUCERS,9FR이하/17CM-40CM,1EA,42000,MERIT MEDICAL SYSTEMS/ INC.,에틸렌/ 실리콘 등,메리트메디칼코리아,급여,
J5002028,20250401,SILKY LONG INTRODUCER SHEATH,9FR이하/17CM-40CM,1EA,42000,STENTEC,ETHYLENE TETRAFLUORO ETHYLENE 등,스텐텍,급여,
J5002029,20250401,SHEATH LONG,9FR이하/17CM-40CM,1EA,42000,TERUMO,폴리에틸렌,한국테루모,급여,
J5002031,20250401,PRIMO,9FR이하/17-40CM미만,1EA,42000,ANAMD,POLYAMIDES/ POLYCARBONATE 등,(주)에이앤에이엠디,급여,
J5002032,20250401,GENOSS INTRODUCER SHEATH(R),9FR이하/17-40CM미만,1EA,42000,GENOSS,ETFE 등,(주)제노스,급여,
J5002105,20250401,ENGAGE/ENGAGE TR,9FR이하/17CM-40CM,1EA,42000,ABBOTT MEDICAL,HDPE 등,애보트메디칼코리아유한회사,급여,
J5002115,20250401,3S SHEATH INTRODUCER KIT,9FR이하/25CM,1EA,42000,DUKWOO MEDICAL,ETHYLENE TETRAFLUORO ETHYLENE 등,덕우메디칼,급여,
J5002127,20250401,PRELUDE F/R SHEATH INTRODUCER,9FR이하/17CM-40CM,1EA,42000,MERIT MEDICAL SYSTEMS/ INC.,POLYETHYLENE 등,메리트메디칼코리아,급여,
J5002129,20250401,RADIFOCUS INTRODUCER Ⅱ M COAT,9FR이하/17-40CM,1EA,42000,TERUMO CORPORATION,ETFE 등,한국테루모,급여,
J5002131,20250401,PRIMO,9FR이하/40CM이상,1EA,99270,ANAMD,POLYAMIDES/ POLYCARBONATE 등,(주)에이앤에이엠디,급여,
J5002132,20250401,GENOSS INTRODUCER SHEATH(F),9FR이하/17-40CM미만,1EA,42000,GENOSS,ETFE 등,(주)제노스,급여,
J5002182,20250401,PERFORMER CHECK-FLO INTRODUCER SET-MICROPUNCTURE RADIAL ARTERY ACCESS(HAIR WIRE 포함),9FR이하/17CM-40CM,1EA,69740,COOK INCORPORATED,STAINLESS STEEL/TEFLON COATED STAINLESS STEEL 등,유한회사 쿡메디칼코리아,급여,
J5002205,20250401,ULTIMUM HEMOSTASIS INTRODUCER,9FR이하/17CM-40CM,1EA,42000,ABBOTT MEDICAL,POLYCARBONATE 등,애보트메디칼코리아유한회사,급여,
J5002213,20250401,AVANTI PLUS TRANSRADIAL SHEATH,9FR이하/17CM-40CM,1EA,42000,CORDIS CORPORATION,POLYETHYLENE,코디스코리아 유한회사,급여,
J5002227,20250401,PRELUDE SHEATH INTRODUCER,9FR이하/17CM-40CM,1EA,69740,MERIT MEDICAL SYSTEMS/ INC.,폴리에틸렌/ 니켈-티타늄 합금 등,메리트메디칼코리아(주),급여,
J5002229,20250401,RADIFOCUS INTRODUCER Ⅱ,9FR이하/17CM-40CM,1EA,42000,TERUMO CORPORATION (제조: 베트남),POLYETHYLENE,한국테루모,급여,
J5002413,20250401,BRITE TIP SHEATH,9FR이하/40CM이상,1EA,99270,CORDIS CORPORATION,POLYETHYLENE 등,코디스코리아 유한회사,급여,
J5002415,20250401,3S SHEATH INTRODUCER KIT-RADIAL ACCESS,9FR 이하 / 17CM-40CM,1EA,69740,DUKWOO MEDICAL,ETFE등,(주)덕우메디칼,급여,
J5003002,20250401,CHECK-FLO ADULT-ARTERIAL AND VENOUS INTRODUCER,10FR이상/전규격,1EA,24180,COOK,RADIOPAQUE FEP,유한회사 쿡메디칼코리아,급여,
J5003005,20250401,FAST-CATH HEMOSTASIS INTRODUCER,9.5FR이상/전규격,1EA,24180,ABBOTT MEDICAL,-,애보트메디칼코리아유한회사,급여,
J5003018,20250401,SUPER ARROW FLEX SHEATH INTRODUCER SET WITH WIRE GUIDES,9FR이하/16CM이하,1EA,24180,ARROW INTERNATIONAL LLC SUBSIDIARY OF TELEFLEX INCORPORATED,폴리에테르-폴리우레탄 / 스테인리스 스틸 등,텔레플렉스코리아(유),급여,
J5003028,20250401,SILKY LARGE INTRODUCER SHEATH,9FR초과/전규격,1EA,24180,STENTEC,ETHYLENE TETRAFLUORO ETHYLENE 등,스텐텍,급여,
J5003029,20250401,RADIFOCUS INTRODUCER Ⅱ,10FR이상 /전규격,1EA,24180,TERUMO CORPORATION,POLYETHYLENE 등,한국테루모,급여,
J5003030,20250401,PRELUDE SHEATH INTRODUCERS,9FR이하/16CM이하,1EA,24180,MERIT MEDICAL SYSTEMS/ INC.,에틸렌/ 실리콘 등,메리트메디칼코리아,급여,
